"time","n1","n2","weight",,,,
"t_0","23","11","3.5893556E-4",,,,
"t_0","38","11","3.2268782E-4",,,,
"t_0","13","25","4.6089257E-4",,,,
"t_0","15","26","2.703767E-4",,,,
"t_0","24","32","3.51028E-4",,,,
"t_0","25","14","4.1441162E-4",,,,
"t_0","20","39","4.2063495E-4",,,,
"t_0","27","40","4.2323573E-4",,,,
"t_0","38","23","3.906993E-4",,,,
"t_0","27","06","2.3949912E-4",,,,
"t_0","13","35","4.2372168E-4",,,,
"t_0","15","10","4.611448E-4",,,,
"t_0","37","10","4.4364843E-4",,,,
"t_0","24","38","3.248425E-4",,,,
"t_0","08","25","2.4514706E-4",,,,
"t_0","33","22","3.9184408E-4",,,,
"t_0","28","05","2.3109539E-4",,,,
"t_0","23","06","2.3307823E-4",,,,
"t_0","37","28","4.1098037E-4",,,,
"t_0","15","38","4.0454388E-4",,,,
"t_0","04","11","1.955437E-4",,,,
"t_0","36","03","2.0986011E-4",,,,
"t_0","08","24","2.0029205E-4",,,,
"t_0","19","36","3.7757636E-4",,,,
"t_0","37","31","4.1670434E-4",,,,
"t_0","07","35","2.4124533E-4",,,,
"t_0","33","18","3.9213448E-4",,,,
"t_0","17","22","3.5676436E-4",,,,
"t_0","11","15","3.770239E-4",,,,
"t_0","15","18","4.030529E-4",,,,
"t_0","08","28","2.33123E-4",,,,
"t_0","39","34","4.426031E-4",,,,
"t_0","01","33","2.2051879E-4",,,,
"t_0","36","31","3.905926E-4",,,,
"t_0","07","38","2.0942441E-4",,,,
"t_0","27","03","2.266518E-4",,,,
"t_0","35","40","4.1586062E-4",,,,
"t_0","35","18","3.8000438E-4",,,,
"t_0","09","11","3.3215425E-4",,,,
"t_0","02","01","1.3296313E-4",,,,
"t_0","35","16","4.2458635E-4",,,,
"t_0","20","25","4.4942918E-4",,,,
"t_0","29","33","4.4452527E-4",,,,
"t_0","40","25","4.365953E-4",,,,
"t_0","04","12","2.2363695E-4",,,,
"t_0","02","09","2.2542031E-4",,,,
"t_0","12","27","4.0456577E-4",,,,
"t_0","19","39","3.8891245E-4",,,,
"t_0","17","37","3.8629808E-4",,,,
"t_0","37","12","4.0740424E-4",,,,
"t_0","38","06","2.0958688E-4",,,,
"t_0","16","40","4.196488E-4",,,,
"t_0","05","31","2.3528519E-4",,,,
"t_0","25","10","4.7371822E-4",,,,
"t_0","04","13","2.4368906E-4",,,,
"t_0","17","20","3.9643218E-4",,,,
"t_0","20","16","4.377381E-4",,,,
"t_0","09","15","4.1183553E-4",,,,
"t_0","19","27","4.0709373E-4",,,,
"t_0","32","40","4.1685323E-4",,,,
"t_0","12","03","2.0638714E-4",,,,
"t_0","32","23","4.27755E-4",,,,
"t_0","26","11","2.1790602E-4",,,,
"t_0","25","23","4.54977E-4",,,,
"t_0","03","26","1.3042246E-4",,,,
"t_0","21","04","2.2991632E-4",,,,
"t_0","23","07","2.4171018E-4",,,,
"t_0","02","11","2.0835343E-4",,,,
"t_0","11","07","1.9689466E-4",,,,
"t_0","17","32","3.924365E-4",,,,
"t_0","13","27","4.317936E-4",,,,
"t_0","06","29","2.4096125E-4",,,,
"t_0","26","21","2.4097208E-4",,,,
"t_0","40","04","2.368453E-4",,,,
"t_0","25","35","4.4059637E-4",,,,
"t_0","18","13","4.0513583E-4",,,,
"t_0","34","35","4.5116962E-4",,,,
"t_0","24","30","3.4480405E-4",,,,
"t_0","11","06","1.8757574E-4",,,,
"t_0","08","07","1.3299515E-4",,,,
"t_0","05","17","2.1705295E-4",,,,
"t_0","16","22","3.9011583E-4",,,,
"t_0","14","04","2.2327113E-4",,,,
"t_0","40","27","4.2323573E-4",,,,
"t_0","34","03","2.3245935E-4",,,,
"t_0","04","31","2.3810254E-4",,,,
