"time","n1","n2","weight",,,,
"t_0","09","04","1.9489406E-5",,,,
"t_0","01","32","1.928284E-5",,,,
"t_0","07","03","1.3280365E-5",,,,
"t_0","37","38","1.6175862E-5",,,,
"t_0","22","25","1.5802883E-5",,,,
"t_0","37","11","1.5726688E-5",,,,
"t_0","13","08","2.355909E-5",,,,
"t_0","15","07","2.2854736E-5",,,,
"t_0","24","04","1.7440358E-5",,,,
"t_0","24","26","1.7440281E-5",,,,
"t_0","40","35","2.4173705E-5",,,,
"t_0","20","15","2.6006359E-5",,,,
"t_0","27","09","2.6384341E-5",,,,
"t_0","37","23","1.9046925E-5",,,,
"t_0","26","16","2.0123372E-5",,,,
"t_0","13","18","1.8567927E-5",,,,
"t_0","14","32","2.4239293E-5",,,,
"t_0","36","11","1.5600343E-5",,,,
"t_0","24","10","1.8603181E-5",,,,
"t_0","08","13","2.355909E-5",,,,
"t_0","32","26","1.542795E-5",,,,
"t_0","27","14","2.0726191E-5",,,,
"t_0","22","20","1.9464353E-5",,,,
"t_0","36","29","2.0119172E-5",,,,
"t_0","15","19","2.6553824E-5",,,,
"t_0","04","03","1.4187346E-5",,,,
"t_0","35","05","1.9171419E-5",,,,
"t_0","08","12","2.3678365E-5",,,,
"t_0","19","13","1.9578938E-5",,,,
"t_0","36","32","2.212705E-5",,,,
"t_0","07","24","1.5239876E-5",,,,
"t_0","32","22","2.523904E-5",,,,
"t_0","17","01","1.5681635E-5",,,,
"t_0","40","19","2.188734E-5",,,,
"t_0","10","40","2.1525091E-5",,,,
"t_0","14","39","1.3963249E-5",,,,
"t_0","08","16","1.4416688E-5",,,,
"t_0","38","33","2.1138629E-5",,,,
"t_0","01","28","1.5039321E-5",,,,
"t_0","35","33","2.278152E-5",,,,
"t_0","07","27","1.6709908E-5",,,,
"t_0","26","13","1.553286E-5",,,,
"t_0","35","02","1.7434597E-5",,,,
"t_0","34","20","2.4732455E-5",,,,
"t_0","08","38","1.36891995E-5",,,,
"t_0","01","36","1.6927002E-5",,,,
"t_0","34","18","1.2305564E-5",,,,
"t_0","20","01","1.7500519E-5",,,,
"t_0","28","40","1.890065E-5",,,,
"t_0","39","23","2.1837379E-5",,,,
"t_0","04","04","0.03207535",,,,
"t_0","02","03","1.6199516E-5",,,,
"t_0","12","11","1.4019868E-5",,,,
"t_0","19","16","1.8565828E-5",,,,
"t_0","17","16","2.4583518E-5",,,,
"t_0","36","13","1.6369704E-5",,,,
"t_0","37","06","1.3657334E-5",,,,
"t_0","16","20","2.2806202E-5",,,,
"t_0","05","22","1.3484438E-5",,,,
"t_0","24","22","1.7349856E-5",,,,
"t_0","04","05","1.558702E-5",,,,
"t_0","40","06","1.8514918E-5",,,,
"t_0","16","39","1.6920463E-5",,,,
"t_0","19","33","2.3270877E-5",,,,
"t_0","09","02","2.1982238E-5",,,,
"t_0","19","04","2.2937202E-5",,,,
"t_0","32","04","2.745202E-5",,,,
"t_0","11","28","1.6644588E-5",,,,
"t_0","31","28","2.1160506E-5",,,,
"t_0","25","22","1.5802883E-5",,,,
"t_0","24","35","1.4778955E-5",,,,
